INFO  | 01/04/2023 12:05:30 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000002 = 0.4999735951423645
INFO  | 01/04/2023 12:05:34 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000003 = 0.49987801909446716
INFO  | 01/04/2023 12:05:38 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000004 = 0.49980804324150085
INFO  | 01/04/2023 12:05:41 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000005 = 0.499767005443573
INFO  | 01/04/2023 12:05:45 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000006 = 0.4997548758983612
INFO  | 01/04/2023 12:05:48 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000007 = 0.4997670352458954
INFO  | 01/04/2023 12:05:52 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000008 = 0.49979403614997864
INFO  | 01/04/2023 12:05:56 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000009 = 0.499828040599823
INFO  | 01/04/2023 12:06:00 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000010 = 0.4998578727245331
INFO  | 01/04/2023 12:06:03 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000011 = 0.4998778998851776
INFO  | 01/04/2023 12:06:07 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000012 = 0.4998844265937805
INFO  | 01/04/2023 12:06:11 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000013 = 0.4998767077922821
INFO  | 01/04/2023 12:06:15 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000014 = 0.49985602498054504
INFO  | 01/04/2023 12:06:19 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000015 = 0.49982863664627075
INFO  | 01/04/2023 12:06:23 AM | File ctrnn_runner.py      | Line 148   | Validation Loss @ epoch 0003 = 0.4998004138469696
INFO  | 01/04/2023 12:06:23 AM | File ctrnn_runner.py      | Line 156   | Saving Snapshot @ epoch 0003
INFO  | 01/04/2023 12:06:23 AM | File ctrnn_runner.py      | Line 165   | Avg training Loss @ the end of epoch 0003 = 0.49987691827118397
INFO  | 01/04/2023 12:06:27 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000000 = 0.4998004138469696
INFO  | 01/04/2023 12:06:30 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000001 = 0.4997723400592804
INFO  | 01/04/2023 12:06:34 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000002 = 0.49975213408470154
INFO  | 01/04/2023 12:06:38 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000003 = 0.4997403621673584
INFO  | 01/04/2023 12:06:42 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000004 = 0.499736487865448
INFO  | 01/04/2023 12:06:45 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000005 = 0.4997379183769226
INFO  | 01/04/2023 12:06:49 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000006 = 0.4997446537017822
INFO  | 01/04/2023 12:06:53 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000007 = 0.49975234270095825
INFO  | 01/04/2023 12:06:56 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000008 = 0.49975958466529846
INFO  | 01/04/2023 12:07:00 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000009 = 0.49976256489753723
INFO  | 01/04/2023 12:07:04 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000010 = 0.4997608959674835
INFO  | 01/04/2023 12:07:07 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000011 = 0.4997561573982239
INFO  | 01/04/2023 12:07:11 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000012 = 0.4997485280036926
INFO  | 01/04/2023 12:07:15 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000013 = 0.4997403025627136
INFO  | 01/04/2023 12:07:19 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000014 = 0.4997303783893585
INFO  | 01/04/2023 12:07:23 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000015 = 0.4997241199016571
INFO  | 01/04/2023 12:07:27 AM | File ctrnn_runner.py      | Line 148   | Validation Loss @ epoch 0004 = 0.49971795082092285
INFO  | 01/04/2023 12:07:27 AM | File ctrnn_runner.py      | Line 156   | Saving Snapshot @ epoch 0004
INFO  | 01/04/2023 12:07:27 AM | File ctrnn_runner.py      | Line 165   | Avg training Loss @ the end of epoch 0004 = 0.4997511990368366
INFO  | 01/04/2023 12:07:31 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000000 = 0.49971795082092285
INFO  | 01/04/2023 12:07:34 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000001 = 0.499715119600296
INFO  | 01/04/2023 12:07:38 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000002 = 0.49971482157707214
INFO  | 01/04/2023 12:07:41 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000003 = 0.49971503019332886
INFO  | 01/04/2023 12:07:46 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000004 = 0.49971675872802734
INFO  | 01/04/2023 12:07:49 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000005 = 0.4997174143791199
INFO  | 01/04/2023 12:07:53 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000006 = 0.49971672892570496
INFO  | 01/04/2023 12:07:57 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000007 = 0.499714195728302
INFO  | 01/04/2023 12:08:01 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000008 = 0.4997113049030304
INFO  | 01/04/2023 12:08:04 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000009 = 0.49970749020576477
INFO  | 01/04/2023 12:08:08 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000010 = 0.499703586101532
INFO  | 01/04/2023 12:08:11 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000011 = 0.49969977140426636
INFO  | 01/04/2023 12:08:15 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000012 = 0.49969741702079773
INFO  | 01/04/2023 12:08:19 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000013 = 0.49969473481178284
INFO  | 01/04/2023 12:08:23 AM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0005 iteration 00000014 = 0.49969223141670227
