INFO  | 01/11/2023 03:39:42 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000037 = 0.5008729696273804
INFO  | 01/11/2023 03:39:43 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000038 = 0.5006807446479797
INFO  | 01/11/2023 03:39:44 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000039 = 0.5002328157424927
INFO  | 01/11/2023 03:39:46 PM | File ready_set_go_ctrnn_runner.py | Line 144   | Validation Loss @ epoch 0001 = 0.4998928248882294
INFO  | 01/11/2023 03:39:46 PM | File ready_set_go_ctrnn_runner.py | Line 152   | Saving Snapshot @ epoch 0001
INFO  | 01/11/2023 03:39:46 PM | File ready_set_go_ctrnn_runner.py | Line 163   | Avg training Loss @ the end of epoch 0001 = 0.5077175170183181
INFO  | 01/11/2023 03:39:47 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000000 = 0.49988844990730286
INFO  | 01/11/2023 03:39:48 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000001 = 0.49982497096061707
INFO  | 01/11/2023 03:39:48 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000002 = 0.5000642538070679
INFO  | 01/11/2023 03:39:49 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000003 = 0.5002902150154114
INFO  | 01/11/2023 03:39:50 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000004 = 0.5002729892730713
INFO  | 01/11/2023 03:39:50 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000005 = 0.5000788569450378
INFO  | 01/11/2023 03:39:51 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000006 = 0.49983111023902893
INFO  | 01/11/2023 03:39:52 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000007 = 0.49973800778388977
INFO  | 01/11/2023 03:39:52 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000008 = 0.4998381733894348
INFO  | 01/11/2023 03:39:53 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000009 = 0.4999636709690094
INFO  | 01/11/2023 03:39:54 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000010 = 0.4999972879886627
INFO  | 01/11/2023 03:39:54 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000011 = 0.499887079000473
INFO  | 01/11/2023 03:39:55 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000012 = 0.49974483251571655
INFO  | 01/11/2023 03:39:56 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000013 = 0.4996551275253296
INFO  | 01/11/2023 03:39:56 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000014 = 0.49970775842666626
INFO  | 01/11/2023 03:39:57 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000015 = 0.49976515769958496
INFO  | 01/11/2023 03:39:58 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000016 = 0.49973154067993164
INFO  | 01/11/2023 03:39:58 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000017 = 0.4996599555015564
INFO  | 01/11/2023 03:39:59 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000018 = 0.49963632225990295
INFO  | 01/11/2023 03:40:00 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000019 = 0.49965277314186096
INFO  | 01/11/2023 03:40:00 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000020 = 0.4995986819267273
INFO  | 01/11/2023 03:40:01 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000021 = 0.4996297061443329
INFO  | 01/11/2023 03:40:02 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000022 = 0.49960947036743164
INFO  | 01/11/2023 03:40:03 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000023 = 0.49952375888824463
INFO  | 01/11/2023 03:40:03 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000024 = 0.4995669722557068
INFO  | 01/11/2023 03:40:04 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000025 = 0.49944862723350525
INFO  | 01/11/2023 03:40:05 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000026 = 0.4994852840900421
INFO  | 01/11/2023 03:40:05 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000027 = 0.49950525164604187
INFO  | 01/11/2023 03:40:06 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000028 = 0.4993821680545807
INFO  | 01/11/2023 03:40:07 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000029 = 0.49949949979782104
INFO  | 01/11/2023 03:40:07 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000030 = 0.4993526041507721
INFO  | 01/11/2023 03:40:08 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000031 = 0.4993463456630707
INFO  | 01/11/2023 03:40:09 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000032 = 0.49941515922546387
INFO  | 01/11/2023 03:40:09 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000033 = 0.4992816746234894
INFO  | 01/11/2023 03:40:10 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000034 = 0.49938100576400757
INFO  | 01/11/2023 03:40:11 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000035 = 0.4993278682231903
INFO  | 01/11/2023 03:40:11 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000036 = 0.49921420216560364
INFO  | 01/11/2023 03:40:12 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000037 = 0.49924856424331665
INFO  | 01/11/2023 03:40:13 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000038 = 0.49929487705230713
INFO  | 01/11/2023 03:40:13 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000039 = 0.4992949962615967
INFO  | 01/11/2023 03:40:16 PM | File ready_set_go_ctrnn_runner.py | Line 144   | Validation Loss @ epoch 0002 = 0.4991715490818024
INFO  | 01/11/2023 03:40:16 PM | File ready_set_go_ctrnn_runner.py | Line 152   | Saving Snapshot @ epoch 0002
INFO  | 01/11/2023 03:40:16 PM | File ready_set_go_ctrnn_runner.py | Line 163   | Avg training Loss @ the end of epoch 0002 = 0.4996408812701702
INFO  | 01/11/2023 03:40:17 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0003 iteration 00000000 = 0.4992277920246124
INFO  | 01/11/2023 03:40:18 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0003 iteration 00000001 = 0.4991677701473236
INFO  | 01/11/2023 03:40:19 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0003 iteration 00000002 = 0.49906301498413086
INFO  | 01/11/2023 03:40:19 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0003 iteration 00000003 = 0.4991389811038971
