INFO  | 01/03/2023 08:19:43 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000002 = 0.08353151381015778
INFO  | 01/03/2023 08:19:44 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000003 = 0.08343563973903656
INFO  | 01/03/2023 08:19:46 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000004 = 0.08336309343576431
INFO  | 01/03/2023 08:19:47 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000005 = 0.08331941068172455
INFO  | 01/03/2023 08:19:49 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000006 = 0.08330473303794861
INFO  | 01/03/2023 08:19:50 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000007 = 0.0833144560456276
INFO  | 01/03/2023 08:19:52 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000008 = 0.08334068953990936
INFO  | 01/03/2023 08:19:53 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000009 = 0.08337409794330597
INFO  | 01/03/2023 08:19:55 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000010 = 0.08340571820735931
INFO  | 01/03/2023 08:19:56 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000011 = 0.0834285244345665
INFO  | 01/03/2023 08:19:58 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000012 = 0.08343831449747086
INFO  | 01/03/2023 08:20:00 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000013 = 0.08343417942523956
INFO  | 01/03/2023 08:20:01 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000014 = 0.08341799676418304
INFO  | 01/03/2023 08:20:03 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000015 = 0.08339375257492065
INFO  | 01/03/2023 08:20:06 PM | File ctrnn_runner.py      | Line 148   | Validation Loss @ epoch 0003 = 0.08336635865271091
INFO  | 01/03/2023 08:20:06 PM | File ctrnn_runner.py      | Line 156   | Saving Snapshot @ epoch 0003
INFO  | 01/03/2023 08:20:06 PM | File ctrnn_runner.py      | Line 165   | Avg training Loss @ the end of epoch 0003 = 0.08343048626556993
INFO  | 01/03/2023 08:20:07 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000000 = 0.08336635679006577
INFO  | 01/03/2023 08:20:09 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000001 = 0.08334066718816757
INFO  | 01/03/2023 08:20:11 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000002 = 0.08332043141126633
INFO  | 01/03/2023 08:20:12 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000003 = 0.08330785483121872
INFO  | 01/03/2023 08:20:14 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000004 = 0.08330334722995758
INFO  | 01/03/2023 08:20:15 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000005 = 0.08330576121807098
INFO  | 01/03/2023 08:20:17 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000006 = 0.08331280946731567
INFO  | 01/03/2023 08:20:19 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000007 = 0.0833216980099678
INFO  | 01/03/2023 08:20:21 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000008 = 0.08332981169223785
INFO  | 01/03/2023 08:20:22 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000009 = 0.08333514630794525
INFO  | 01/03/2023 08:20:24 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000010 = 0.08333664387464523
INFO  | 01/03/2023 08:20:25 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000011 = 0.08333428204059601
