INFO  | 01/13/2023 01:10:19 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000036 = 0.5002087950706482
INFO  | 01/13/2023 01:10:20 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000037 = 0.5000701546669006
INFO  | 01/13/2023 01:10:21 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000038 = 0.4999828338623047
INFO  | 01/13/2023 01:10:22 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000039 = 0.49996545910835266
INFO  | 01/13/2023 01:10:26 PM | File ready_set_go_ctrnn_runner.py | Line 144   | Validation Loss @ epoch 0001 = 0.5000128448009491
INFO  | 01/13/2023 01:10:26 PM | File ready_set_go_ctrnn_runner.py | Line 152   | Saving Snapshot @ epoch 0001
INFO  | 01/13/2023 01:10:26 PM | File ready_set_go_ctrnn_runner.py | Line 163   | Avg training Loss @ the end of epoch 0001 = 0.5023171447217465
INFO  | 01/13/2023 01:10:27 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000000 = 0.5000169277191162
INFO  | 01/13/2023 01:10:28 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000001 = 0.5000845193862915
INFO  | 01/13/2023 01:10:30 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000002 = 0.5001338124275208
INFO  | 01/13/2023 01:10:31 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000003 = 0.5001342296600342
INFO  | 01/13/2023 01:10:32 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000004 = 0.5000980496406555
INFO  | 01/13/2023 01:10:33 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000005 = 0.500031054019928
INFO  | 01/13/2023 01:10:34 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000006 = 0.499971866607666
INFO  | 01/13/2023 01:10:35 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000007 = 0.4999569356441498
INFO  | 01/13/2023 01:10:37 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000008 = 0.4999677538871765
INFO  | 01/13/2023 01:10:38 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000009 = 0.5
INFO  | 01/13/2023 01:10:39 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000010 = 0.500028133392334
INFO  | 01/13/2023 01:10:40 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000011 = 0.5000362396240234
INFO  | 01/13/2023 01:10:41 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000012 = 0.5000163912773132
INFO  | 01/13/2023 01:10:43 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000013 = 0.49998733401298523
INFO  | 01/13/2023 01:10:44 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000014 = 0.49996417760849
INFO  | 01/13/2023 01:10:45 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000015 = 0.49994802474975586
INFO  | 01/13/2023 01:10:46 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000016 = 0.49995943903923035
INFO  | 01/13/2023 01:10:47 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000017 = 0.49996742606163025
INFO  | 01/13/2023 01:10:48 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000018 = 0.4999851584434509
INFO  | 01/13/2023 01:10:50 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000019 = 0.4999851882457733
INFO  | 01/13/2023 01:10:51 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000020 = 0.49997594952583313
INFO  | 01/13/2023 01:10:52 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000021 = 0.4999673664569855
INFO  | 01/13/2023 01:10:53 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000022 = 0.49994993209838867
INFO  | 01/13/2023 01:10:54 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000023 = 0.4999462068080902
INFO  | 01/13/2023 01:10:56 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000024 = 0.4999503493309021
INFO  | 01/13/2023 01:10:57 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000025 = 0.4999501705169678
INFO  | 01/13/2023 01:10:58 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000026 = 0.4999598264694214
INFO  | 01/13/2023 01:10:59 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000027 = 0.4999527931213379
INFO  | 01/13/2023 01:11:00 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000028 = 0.4999490976333618
INFO  | 01/13/2023 01:11:01 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000029 = 0.4999443292617798
INFO  | 01/13/2023 01:11:03 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000030 = 0.4999437928199768
INFO  | 01/13/2023 01:11:04 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000031 = 0.49993735551834106
INFO  | 01/13/2023 01:11:05 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000032 = 0.4999427795410156
INFO  | 01/13/2023 01:11:06 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000033 = 0.49994218349456787
INFO  | 01/13/2023 01:11:07 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000034 = 0.4999426603317261
INFO  | 01/13/2023 01:11:08 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000035 = 0.4999440312385559
INFO  | 01/13/2023 01:11:10 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000036 = 0.49993956089019775
INFO  | 01/13/2023 01:11:11 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000037 = 0.49992820620536804
INFO  | 01/13/2023 01:11:12 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000038 = 0.49992576241493225
INFO  | 01/13/2023 01:11:13 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000039 = 0.4999203681945801
INFO  | 01/13/2023 01:11:17 PM | File ready_set_go_ctrnn_runner.py | Line 144   | Validation Loss @ epoch 0002 = 0.49993235170841216
INFO  | 01/13/2023 01:11:17 PM | File ready_set_go_ctrnn_runner.py | Line 152   | Saving Snapshot @ epoch 0002
INFO  | 01/13/2023 01:11:17 PM | File ready_set_go_ctrnn_runner.py | Line 163   | Avg training Loss @ the end of epoch 0002 = 0.4999796345829964
INFO  | 01/13/2023 01:11:18 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0003 iteration 00000000 = 0.49993082880973816
INFO  | 01/13/2023 01:11:20 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0003 iteration 00000001 = 0.49993473291397095
INFO  | 01/13/2023 01:11:21 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0003 iteration 00000002 = 0.49992960691452026
INFO  | 01/13/2023 01:11:22 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0003 iteration 00000003 = 0.49992141127586365
INFO  | 01/13/2023 01:11:23 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0003 iteration 00000004 = 0.4999322295188904
INFO  | 01/13/2023 01:11:24 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0003 iteration 00000005 = 0.49991798400878906
INFO  | 01/13/2023 01:11:25 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0003 iteration 00000006 = 0.4999315142631531
INFO  | 01/13/2023 01:11:26 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0003 iteration 00000007 = 0.49992331862449646
INFO  | 01/13/2023 01:11:28 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0003 iteration 00000008 = 0.49992838501930237
INFO  | 01/13/2023 01:11:29 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0003 iteration 00000009 = 0.49992209672927856
INFO  | 01/13/2023 01:11:30 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0003 iteration 00000010 = 0.49992018938064575
INFO  | 01/13/2023 01:11:31 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0003 iteration 00000011 = 0.49992814660072327
INFO  | 01/13/2023 01:11:32 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0003 iteration 00000012 = 0.4999196529388428
INFO  | 01/13/2023 01:11:33 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0003 iteration 00000013 = 0.4999275207519531
INFO  | 01/13/2023 01:11:35 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0003 iteration 00000014 = 0.49991434812545776
INFO  | 01/13/2023 01:11:36 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0003 iteration 00000015 = 0.499916672706604
INFO  | 01/13/2023 01:11:37 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0003 iteration 00000016 = 0.49993255734443665
INFO  | 01/13/2023 01:11:38 PM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0003 iteration 00000017 = 0.4999166429042816
