INFO  | 01/03/2023 12:13:31 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0003 iteration 00000002 = 0.08336140960454941
INFO  | 01/03/2023 12:13:33 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0003 iteration 00000003 = 0.08339150995016098
INFO  | 01/03/2023 12:13:34 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0003 iteration 00000004 = 0.083494633436203
INFO  | 01/03/2023 12:13:36 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0003 iteration 00000005 = 0.08363485336303711
INFO  | 01/03/2023 12:13:37 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0003 iteration 00000006 = 0.0837772786617279
INFO  | 01/03/2023 12:13:39 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0003 iteration 00000007 = 0.08389304578304291
INFO  | 01/03/2023 12:13:41 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0003 iteration 00000008 = 0.08396276086568832
INFO  | 01/03/2023 12:13:42 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0003 iteration 00000009 = 0.0839780643582344
INFO  | 01/03/2023 12:13:44 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0003 iteration 00000010 = 0.08394096046686172
INFO  | 01/03/2023 12:13:45 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0003 iteration 00000011 = 0.08386188000440598
INFO  | 01/03/2023 12:13:47 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0003 iteration 00000012 = 0.08375656604766846
INFO  | 01/03/2023 12:13:48 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0003 iteration 00000013 = 0.08364256471395493
INFO  | 01/03/2023 12:13:51 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0003 iteration 00000014 = 0.08353611081838608
INFO  | 01/03/2023 12:13:52 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0003 iteration 00000015 = 0.08344978094100952
INFO  | 01/03/2023 12:13:56 AM | File ctrnn_runner.py      | Line 149   | Validation Loss @ epoch 0003 = 0.083390973508358
INFO  | 01/03/2023 12:13:56 AM | File ctrnn_runner.py      | Line 157   | Saving Snapshot @ epoch 0003
INFO  | 01/03/2023 12:13:56 AM | File ctrnn_runner.py      | Line 166   | Avg training Loss @ the end of epoch 0003 = 0.08367189252749085
INFO  | 01/03/2023 12:13:58 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0004 iteration 00000000 = 0.083390973508358
INFO  | 01/03/2023 12:14:00 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0004 iteration 00000001 = 0.0833616703748703
INFO  | 01/03/2023 12:14:02 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0004 iteration 00000002 = 0.08335898816585541
INFO  | 01/03/2023 12:14:05 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0004 iteration 00000003 = 0.08337648212909698
INFO  | 01/03/2023 12:14:07 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0004 iteration 00000004 = 0.08340572565793991
INFO  | 01/03/2023 12:14:10 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0004 iteration 00000005 = 0.08343804627656937
INFO  | 01/03/2023 12:14:12 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0004 iteration 00000006 = 0.08346591889858246
INFO  | 01/03/2023 12:14:14 AM | File ctrnn_runner.py      | Line 131   | Training Loss @ epoch 0004 iteration 00000007 = 0.08348400890827179
