INFO  | 02/18/2023 01:35:57 PM | File summary.py           | Line 40    | Summary name beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval[[0.4,0.6],[1,1.2]]_training_loss is illegal; using beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval__0.4_0.6___1_1.2___training_loss instead.
INFO  | 02/18/2023 01:35:57 PM | File beats_chain_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000012 = 0.5030733942985535
INFO  | 02/18/2023 01:35:58 PM | File summary.py           | Line 40    | Summary name beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval[[0.4,0.6],[1,1.2]]_training_loss is illegal; using beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval__0.4_0.6___1_1.2___training_loss instead.
INFO  | 02/18/2023 01:35:58 PM | File beats_chain_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000013 = 0.49966558814048767
INFO  | 02/18/2023 01:35:59 PM | File summary.py           | Line 40    | Summary name beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval[[0.4,0.6],[1,1.2]]_training_loss is illegal; using beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval__0.4_0.6___1_1.2___training_loss instead.
INFO  | 02/18/2023 01:35:59 PM | File beats_chain_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000014 = 0.500837504863739
INFO  | 02/18/2023 01:36:00 PM | File summary.py           | Line 40    | Summary name beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval[[0.4,0.6],[1,1.2]]_training_loss is illegal; using beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval__0.4_0.6___1_1.2___training_loss instead.
INFO  | 02/18/2023 01:36:00 PM | File beats_chain_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000015 = 0.5043911337852478
INFO  | 02/18/2023 01:36:01 PM | File summary.py           | Line 40    | Summary name beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval[[0.4,0.6],[1,1.2]]_training_loss is illegal; using beats_chain_full_sine_beatsn10_targetsn10_dt0.01_interval__0.4_0.6___1_1.2___training_loss instead.
INFO  | 02/18/2023 01:36:01 PM | File beats_chain_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000016 = 0.5064041614532471
