INFO  | 01/03/2023 12:32:43 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0003 iteration 00000002 = 0.08336088806390762
INFO  | 01/03/2023 12:32:46 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0003 iteration 00000003 = 0.08343109488487244
INFO  | 01/03/2023 12:32:48 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0003 iteration 00000004 = 0.08348651975393295
INFO  | 01/03/2023 12:32:51 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0003 iteration 00000005 = 0.08349013328552246
INFO  | 01/03/2023 12:32:54 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0003 iteration 00000006 = 0.08344360440969467
INFO  | 01/03/2023 12:32:56 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0003 iteration 00000007 = 0.08337968587875366
INFO  | 01/03/2023 12:32:59 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0003 iteration 00000008 = 0.08333693444728851
INFO  | 01/03/2023 12:33:02 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0003 iteration 00000009 = 0.08333456516265869
INFO  | 01/03/2023 12:33:04 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0003 iteration 00000010 = 0.08336345106363297
INFO  | 01/03/2023 12:33:07 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0003 iteration 00000011 = 0.08339627087116241
INFO  | 01/03/2023 12:33:10 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0003 iteration 00000012 = 0.08340800553560257
INFO  | 01/03/2023 12:33:13 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0003 iteration 00000013 = 0.08339185267686844
INFO  | 01/03/2023 12:33:15 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0003 iteration 00000014 = 0.0833607017993927
INFO  | 01/03/2023 12:33:18 PM | File ctrnn_runner.py      | Line 132   | Training Loss @ epoch 0003 iteration 00000015 = 0.08333545923233032
INFO  | 01/03/2023 12:33:23 PM | File ctrnn_runner.py      | Line 150   | Validation Loss @ epoch 0003 = 0.08332972973585129
