INFO  | 01/11/2023 03:12:21 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0101 iteration 00000036 = 0.13814236223697662
INFO  | 01/11/2023 03:12:23 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0101 iteration 00000037 = 0.19097545742988586
INFO  | 01/11/2023 03:12:25 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0101 iteration 00000038 = 0.14228634536266327
INFO  | 01/11/2023 03:12:27 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0101 iteration 00000039 = 0.16408492624759674
INFO  | 01/11/2023 03:12:36 AM | File ready_set_go_ctrnn_runner.py | Line 144   | Validation Loss @ epoch 0101 = 0.19867862462997438
INFO  | 01/11/2023 03:12:36 AM | File ready_set_go_ctrnn_runner.py | Line 152   | Saving Snapshot @ epoch 0101
INFO  | 01/11/2023 03:12:36 AM | File ready_set_go_ctrnn_runner.py | Line 161   | Avg training Loss @ the end of epoch 0101 = 0.18208236135542394
INFO  | 01/11/2023 03:12:38 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0102 iteration 00000000 = 0.1870642453432083
INFO  | 01/11/2023 03:12:42 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0102 iteration 00000001 = 0.2039480060338974
INFO  | 01/11/2023 03:12:44 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0102 iteration 00000002 = 0.1794428676366806
INFO  | 01/11/2023 03:12:46 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0102 iteration 00000003 = 0.12937214970588684
INFO  | 01/11/2023 03:12:49 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0102 iteration 00000004 = 0.12775936722755432
INFO  | 01/11/2023 03:12:51 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0102 iteration 00000005 = 0.21874494850635529
INFO  | 01/11/2023 03:12:53 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0102 iteration 00000006 = 0.2957506477832794
INFO  | 01/11/2023 03:12:56 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0102 iteration 00000007 = 0.4501987397670746
INFO  | 01/11/2023 03:12:58 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0102 iteration 00000008 = 0.22096171975135803
INFO  | 01/11/2023 03:13:01 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0102 iteration 00000009 = 0.34967944025993347
INFO  | 01/11/2023 03:13:04 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0102 iteration 00000010 = 0.43211978673934937
INFO  | 01/11/2023 03:13:07 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0102 iteration 00000011 = 0.31207090616226196
INFO  | 01/11/2023 03:13:09 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0102 iteration 00000012 = 0.3262793719768524
INFO  | 01/11/2023 03:13:12 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0102 iteration 00000013 = 0.395384281873703
INFO  | 01/11/2023 03:13:27 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0102 iteration 00000014 = 0.4006340801715851
