INFO  | 01/03/2023 10:28:07 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000002 = 0.1729383021593094
INFO  | 01/03/2023 10:28:09 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000003 = 0.17402902245521545
INFO  | 01/03/2023 10:28:11 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000004 = 0.17308548092842102
INFO  | 01/03/2023 10:28:14 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000005 = 0.16982385516166687
INFO  | 01/03/2023 10:28:16 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000006 = 0.1709843873977661
INFO  | 01/03/2023 10:28:18 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000007 = 0.17562028765678406
INFO  | 01/03/2023 10:28:21 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000008 = 0.18059726059436798
INFO  | 01/03/2023 10:28:24 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000009 = 0.17723193764686584
INFO  | 01/03/2023 10:28:26 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000010 = 0.1771838366985321
INFO  | 01/03/2023 10:28:28 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000011 = 0.17105403542518616
INFO  | 01/03/2023 10:28:31 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000012 = 0.18104144930839539
INFO  | 01/03/2023 10:28:33 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000013 = 0.17619645595550537
INFO  | 01/03/2023 10:28:35 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000014 = 0.16966331005096436
INFO  | 01/03/2023 10:28:38 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0003 iteration 00000015 = 0.16832265257835388
INFO  | 01/03/2023 10:28:41 PM | File ctrnn_runner.py      | Line 148   | Validation Loss @ epoch 0003 = 0.17111504822969437
INFO  | 01/03/2023 10:28:41 PM | File ctrnn_runner.py      | Line 156   | Saving Snapshot @ epoch 0003
INFO  | 01/03/2023 10:28:41 PM | File ctrnn_runner.py      | Line 165   | Avg training Loss @ the end of epoch 0003 = 0.17400704137980938
INFO  | 01/03/2023 10:28:43 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000000 = 0.17736013233661652
INFO  | 01/03/2023 10:28:46 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000001 = 0.17166820168495178
INFO  | 01/03/2023 10:28:48 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000002 = 0.17000669240951538
INFO  | 01/03/2023 10:28:50 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000003 = 0.17360427975654602
INFO  | 01/03/2023 10:28:53 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000004 = 0.17410413920879364
INFO  | 01/03/2023 10:28:55 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000005 = 0.1721181720495224
INFO  | 01/03/2023 10:28:57 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000006 = 0.16717416048049927
INFO  | 01/03/2023 10:29:00 PM | File ctrnn_runner.py      | Line 130   | Training Loss @ epoch 0004 iteration 00000007 = 0.17544636130332947
