INFO  | 02/05/2023 07:30:21 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0001 iteration 00000034 = 0.5000002384185791
INFO  | 02/05/2023 07:30:23 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0001 iteration 00000035 = 0.49999991059303284
INFO  | 02/05/2023 07:30:24 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0001 iteration 00000036 = 0.5000000596046448
INFO  | 02/05/2023 07:30:26 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0001 iteration 00000037 = 0.4999999701976776
INFO  | 02/05/2023 07:30:27 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0001 iteration 00000038 = 0.5000002384185791
INFO  | 02/05/2023 07:30:29 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0001 iteration 00000039 = 0.49999988079071045
INFO  | 02/05/2023 07:30:36 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 142   | Validation Loss @ epoch 0001 = 0.5000000268220901
INFO  | 02/05/2023 07:30:36 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 150   | Saving Snapshot @ epoch 0001
INFO  | 02/05/2023 07:30:37 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 161   | Avg training Loss @ the end of epoch 0001 = 0.5000000052154064
INFO  | 02/05/2023 07:30:38 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0002 iteration 00000000 = 0.5000000596046448
INFO  | 02/05/2023 07:30:40 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0002 iteration 00000001 = 0.4999998211860657
INFO  | 02/05/2023 07:30:41 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0002 iteration 00000002 = 0.4999999701976776
INFO  | 02/05/2023 07:30:43 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0002 iteration 00000003 = 0.4999998211860657
INFO  | 02/05/2023 07:30:45 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0002 iteration 00000004 = 0.4999999403953552
INFO  | 02/05/2023 07:30:46 PM | File gaussian_derivative_loss_ctrnn_runner.py | Line 124   | Training Loss @ epoch 0002 iteration 00000005 = 0.5000001788139343
