INFO  | 02/07/2023 11:10:54 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000036 = 0.0935087651014328
INFO  | 02/07/2023 11:10:55 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000037 = 0.09356265515089035
INFO  | 02/07/2023 11:10:57 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000038 = 0.09390146285295486
INFO  | 02/07/2023 11:10:59 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0001 iteration 00000039 = 0.09430616348981857
INFO  | 02/07/2023 11:11:06 AM | File ready_set_go_ctrnn_runner.py | Line 144   | Validation Loss @ epoch 0001 = 0.0943334311246872
INFO  | 02/07/2023 11:11:06 AM | File ready_set_go_ctrnn_runner.py | Line 152   | Saving Snapshot @ epoch 0001
INFO  | 02/07/2023 11:11:06 AM | File ready_set_go_ctrnn_runner.py | Line 163   | Avg training Loss @ the end of epoch 0001 = 0.10329908523708582
INFO  | 02/07/2023 11:11:08 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000000 = 0.09434561431407928
INFO  | 02/07/2023 11:11:09 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000001 = 0.09411954879760742
INFO  | 02/07/2023 11:11:11 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000002 = 0.09356389194726944
INFO  | 02/07/2023 11:11:13 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000003 = 0.09347061812877655
INFO  | 02/07/2023 11:11:14 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000004 = 0.09336578100919724
INFO  | 02/07/2023 11:11:16 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000005 = 0.09361767768859863
INFO  | 02/07/2023 11:11:17 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000006 = 0.09385153651237488
INFO  | 02/07/2023 11:11:19 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000007 = 0.09375160187482834
INFO  | 02/07/2023 11:11:21 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000008 = 0.09354706853628159
INFO  | 02/07/2023 11:11:22 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000009 = 0.09326585382223129
INFO  | 02/07/2023 11:11:24 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000010 = 0.0932210236787796
INFO  | 02/07/2023 11:11:26 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000011 = 0.09336826205253601
INFO  | 02/07/2023 11:11:27 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000012 = 0.09334492683410645
INFO  | 02/07/2023 11:11:29 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000013 = 0.09338954091072083
INFO  | 02/07/2023 11:11:30 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000014 = 0.0933644101023674
INFO  | 02/07/2023 11:11:32 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000015 = 0.09316050261259079
INFO  | 02/07/2023 11:11:34 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000016 = 0.09309279173612595
INFO  | 02/07/2023 11:11:35 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000017 = 0.09313832968473434
INFO  | 02/07/2023 11:11:37 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000018 = 0.09311342239379883
INFO  | 02/07/2023 11:11:39 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000019 = 0.09317602962255478
INFO  | 02/07/2023 11:11:40 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000020 = 0.09311534464359283
INFO  | 02/07/2023 11:11:42 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000021 = 0.09296432137489319
INFO  | 02/07/2023 11:11:44 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000022 = 0.09292174875736237
INFO  | 02/07/2023 11:11:45 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000023 = 0.09298066049814224
INFO  | 02/07/2023 11:11:47 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000024 = 0.09297944605350494
INFO  | 02/07/2023 11:11:49 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000025 = 0.09300695359706879
INFO  | 02/07/2023 11:11:50 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000026 = 0.09298108518123627
INFO  | 02/07/2023 11:11:52 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000027 = 0.09292001277208328
INFO  | 02/07/2023 11:11:54 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000028 = 0.09284581989049911
INFO  | 02/07/2023 11:11:55 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000029 = 0.09275507926940918
INFO  | 02/07/2023 11:11:57 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000030 = 0.09270621836185455
INFO  | 02/07/2023 11:11:59 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000031 = 0.09263404458761215
INFO  | 02/07/2023 11:12:00 AM | File ready_set_go_ctrnn_runner.py | Line 125   | Training Loss @ epoch 0002 iteration 00000032 = 0.09275922924280167
